Hour,Clicks,Impressions,Avg. CPC,Cost
12 am – 1 am,0,0,$0.00,$0.00
1 am – 2 am,0,0,$0.00,$0.00
2 am – 3 am,0,0,$0.00,$0.00
3 am – 4 am,0,0,$0.00,$0.00
4 am – 5 am,0,0,$0.00,$0.00
5 am – 6 am,0,0,$0.00,$0.00
6 am – 7 am,0,0,$0.00,$0.00
7 am – 8 am,0,0,$0.00,$0.00
8 am – 9 am,0,0,$0.00,$0.00
9 am – 10 am,0,0,$0.00,$0.00
10 am – 11 am,0,0,$0.00,$0.00
11 am – 12 pm,0,0,$0.00,$0.00
12 pm – 1 pm,5,41,$1.90,$9.48
1 pm – 2 pm,3,63,$1.28,$3.83
2 pm – 3 pm,3,82,$1.89,$5.68
3 pm – 4 pm,1,8,$2.13,$2.13
4 pm – 5 pm,0,0,$0.00,$0.00
5 pm – 6 pm,0,0,$0.00,$0.00
6 pm – 7 pm,0,0,$0.00,$0.00
7 pm – 8 pm,0,0,$0.00,$0.00
8 pm – 9 pm,0,0,$0.00,$0.00
9 pm – 10 pm,0,0,$0.00,$0.00
10 pm – 11 pm,0,0,$0.00,$0.00
11 pm – 12 am,0,0,$0.00,$0.00
